patient_key,comparison,ok,reason,n_rows_common,ref_y_min,ref_y_max,cmp_y_min,cmp_y_max,common_y_min,common_y_max,mae_px,rmse_px,median_abs_px,p75_abs_px,p95_abs_px,max_abs_px,signed_mean_px,signed_median_px,signed_std_px,mae_width_pct,rmse_width_pct,area_between_curves_px2,corr_x,ref_length_px,cmp_length_px,length_diff_px,length_diff_pct,curvature_mae,hausdorff_px,chamfer_px
S_144,csv_vs_target,True,,181.0,10.0,255.0,19.0,199.0,19.0,199.0,161.32852902069934,162.0881972368877,163.96449279785156,175.7682113647461,182.30623626708984,182.6177749633789,-161.32852902069934,-163.96449279785156,15.674482687526973,63.01895664871068,63.315702045659265,29200.463752746582,,245.00082397460938,196.82867431640625,-48.172149658203125,-19.662035773899778,0.026332443580031395,182.61776733398438,155.58514404296875
S_148,csv_vs_target,True,,104.0,74.0,255.0,16.0,177.0,74.0,177.0,150.13887192652777,150.16304113723695,149.93698120117188,152.72213172912598,154.35948104858397,154.52024841308594,-150.13887192652777,-149.93698120117188,2.6940787318136805,58.64799684629991,58.65743794423318,15614.442680358887,,181.0,202.65594482421875,21.65594482421875,11.964610399459827,0.021664563566446304,171.73526000976562,136.53146362304688
S_139,csv_vs_target,True,,154.0,5.0,255.0,18.0,171.0,18.0,171.0,148.34190948288162,150.6606956551261,149.48783493041992,170.92097854614258,178.47898750305177,178.86946868896484,-148.34190948288162,-149.48783493041992,26.331029342946078,57.94605839175063,58.85183424028363,22844.65406036377,-0.7280574019590434,312.7890625,189.2008056640625,-123.5882568359375,-39.51169386940642,0.05591897666454315,158.04110717773438,118.72291564941406
S_115,csv_vs_target,True,,77.0,122.0,255.0,45.0,198.0,122.0,198.0,148.24900649429915,149.55733737740266,140.8436279296875,165.0661163330078,183.73609619140626,186.7376251220703,-148.24900649429915,-140.8436279296875,19.73902826563382,57.90976816183561,58.42083491304791,11415.173500061035,,149.7330322265625,195.46302795410156,45.72999572753906,30.54102027085811,0.03213050216436386,190.4080352783203,145.7431640625
S_149,csv_vs_target,True,,162.0,11.0,255.0,14.0,175.0,14.0,175.0,145.35527580167042,145.62237412743224,145.52825927734375,155.06912422180176,156.51193809509277,156.59964752197266,-145.35527580167042,-145.52825927734375,8.815874496054201,56.779404610027505,56.883739893528215,23547.554679870605,,244.0,164.74078369140625,-79.25921630859375,-32.4832853710432,0.012481147423386574,160.36940002441406,144.51307678222656
S_146,csv_vs_target,True,,109.0,57.0,255.0,18.0,165.0,57.0,165.0,142.90996040554222,144.42309481738172,149.51583862304688,161.0395965576172,166.5094970703125,166.8311996459961,-142.90996040554222,-149.51583862304688,20.85122378942741,55.82420328341493,56.41527141303973,15577.185684204102,,198.0,183.65689086914062,-14.343109130859375,-7.24399451016918,0.03160674497485161,166.83120727539062,129.32106018066406
S_123,csv_vs_target,True,,76.0,114.0,255.0,47.0,189.0,114.0,189.0,140.5425857744719,140.87100440963076,138.82128143310547,149.8520050048828,155.69880294799805,156.0001678466797,-140.5425857744719,-138.82128143310547,9.613608438220362,54.89944756815308,55.02773609751201,10681.236518859863,,179.08441162109375,160.38748168945312,-18.696929931640625,-10.44028889022206,0.016902722418308258,156.0001678466797,131.8905029296875
S_127,csv_vs_target,True,,217.0,27.0,255.0,13.0,243.0,27.0,243.0,137.53720623666788,139.6238190367888,140.1155014038086,160.1259536743164,166.42914581298828,166.81137084960938,-137.53720623666788,-140.1155014038086,24.048445750822,53.72547118619839,54.54055431124563,29845.573753356934,,231.67152404785156,269.32025146484375,37.64872741699219,16.25090850940782,0.02823772467672825,166.81137084960938,125.60340881347656
S_103,csv_vs_target,True,,169.0,31.0,255.0,19.0,199.0,31.0,199.0,136.65975207266723,137.9380098244177,135.03911590576172,154.0479736328125,162.9474319458008,163.46880340576172,-136.65975207266723,-135.03911590576172,18.735173278042506,53.38271565338564,53.88203508766316,23095.49810028076,,264.73663330078125,214.72251892089844,-50.01411437988281,-18.89202629587343,0.03214938938617706,163.46881103515625,119.98176574707031
S_106,csv_vs_target,True,,127.0,44.0,255.0,20.0,170.0,44.0,170.0,135.14315351351038,137.24303566673169,138.9038314819336,157.95510482788086,167.99037399291993,168.5096893310547,-135.14315351351038,-138.9038314819336,23.91608031102821,52.790294341214995,53.610560807317064,17163.18049621582,,257.38751220703125,196.51528930664062,-60.872222900390625,-23.650029628889946,0.048725832253694534,168.5096893310547,121.2989501953125
